id,elevator,timein,timeout,floorin,floorout
138,3,5/1/17 16:46,5/1/17 16:47,9,4
138,3,5/1/17 19:04,5/1/17 19:04,8,6
138,3,5/1/17 19:56,5/1/17 19:56,2,5
138,3,5/1/17 5:13,5/1/17 5:13,2,7
138,3,5/1/17 15:44,5/1/17 15:44,8,9
4,2,5/1/17 5:17,5/1/17 5:17,5,6
4,3,5/1/17 5:07,5/1/17 5:07,8,2
4,1,5/1/17 18:04,5/1/17 18:04,9,7
4,1,5/1/17 8:18,5/1/17 8:19,6,8
239,2,5/1/17 6:50,5/1/17 6:50,3,7
239,2,5/1/17 4:08,5/1/17 4:09,2,9
26,2,5/1/17 12:47,5/1/17 12:48,7,6
26,3,5/1/17 12:05,5/1/17 12:05,6,9
26,3,5/1/17 7:26,5/1/17 7:27,6,10
88,3,5/1/17 17:12,5/1/17 17:12,5,1
88,1,5/1/17 13:55,5/1/17 13:55,5,6
239,1,5/1/17 12:50,5/1/17 12:50,1,5
239,2,5/1/17 6:45,5/1/17 6:46,10,5
239,2,5/1/17 18:51,5/1/17 18:51,5,7
169,4,5/1/17 7:15,5/1/17 7:15,8,7
169,1,5/1/17 16:46,5/1/17 16:46,6,3
262,1,5/1/17 17:42,5/1/17 17:42,4,6
262,3,5/1/17 9:18,5/1/17 9:19,1,9
262,4,5/1/17 17:23,5/1/17 17:23,8,6
262,1,5/1/17 16:47,5/1/17 16:47,5,3
262,2,5/1/17 12:08,5/1/17 12:09,4,10
123,1,5/1/17 16:31,5/1/17 16:31,1,5
123,1,5/1/17 17:21,5/1/17 17:22,9,5
123,4,5/1/17 5:05,5/1/17 5:05,4,7
123,4,5/1/17 4:42,5/1/17 4:42,8,4
123,4,5/1/17 6:20,5/1/17 6:21,3,8
139,3,5/1/17 5:22,5/1/17 5:23,5,7
139,3,5/1/17 19:45,5/1/17 19:45,7,8
139,4,5/1/17 16:53,5/1/17 16:54,1,6
139,3,5/1/17 8:45,5/1/17 8:46,10,1
139,3,5/1/17 6:19,5/1/17 6:19,2,6
26,4,5/1/17 16:02,5/1/17 16:02,1,2
26,3,5/1/17 19:17,5/1/17 19:18,10,1
26,2,5/1/17 19:08,5/1/17 19:08,4,1
224,2,5/1/17 16:00,5/1/17 16:00,9,10
224,2,5/1/17 9:03,5/1/17 9:04,3,5
104,2,5/1/17 11:13,5/1/17 11:13,10,7
104,2,5/1/17 12:06,5/1/17 12:07,4,8
104,1,5/1/17 9:39,5/1/17 9:39,8,9
104,1,5/1/17 14:47,5/1/17 14:48,5,9
104,3,5/1/17 16:04,5/1/17 16:05,1,10
190,3,5/1/17 18:33,5/1/17 18:33,1,7
190,4,5/1/17 9:09,5/1/17 9:10,8,2
190,1,5/1/17 12:16,5/1/17 12:17,7,3
5,2,5/1/17 9:15,5/1/17 9:15,9,10
5,2,5/1/17 8:36,5/1/17 8:37,5,1
5,4,5/1/17 13:05,5/1/17 13:06,7,1
5,3,5/1/17 10:30,5/1/17 10:30,1,6
5,2,5/1/17 4:01,5/1/17 4:02,9,2
33,4,5/1/17 9:41,5/1/17 9:41,8,10
33,4,5/1/17 9:32,5/1/17 9:33,2,4
33,4,5/1/17 11:24,5/1/17 11:24,10,9
68,4,5/1/17 8:28,5/1/17 8:29,1,9
68,4,5/1/17 5:32,5/1/17 5:32,5,2
68,1,5/1/17 19:40,5/1/17 19:41,7,1
68,1,5/1/17 18:32,5/1/17 18:33,7,3
184,3,5/1/17 17:56,5/1/17 17:57,9,5
184,3,5/1/17 7:31,5/1/17 7:31,10,9
216,4,5/1/17 16:19,5/1/17 16:20,7,2
216,2,5/1/17 5:48,5/1/17 5:48,5,1
216,4,5/1/17 5:16,5/1/17 5:17,10,2
273,1,5/1/17 18:20,5/1/17 18:21,2,8
273,2,5/1/17 19:51,5/1/17 19:51,6,5
244,4,5/1/17 8:43,5/1/17 8:43,1,2
244,2,5/1/17 6:42,5/1/17 6:42,7,4
244,4,5/1/17 7:30,5/1/17 7:31,3,1
244,2,5/1/17 4:16,5/1/17 4:16,3,9
244,1,5/1/17 16:24,5/1/17 16:24,1,4
292,1,5/1/17 9:51,5/1/17 9:51,1,4
292,1,5/1/17 8:52,5/1/17 8:52,7,9
292,2,5/1/17 5:22,5/1/17 5:23,7,3
292,4,5/1/17 11:48,5/1/17 11:48,1,3
101,4,5/1/17 7:16,5/1/17 7:17,3,10
101,3,5/1/17 10:39,5/1/17 10:39,7,3
101,3,5/1/17 10:37,5/1/17 10:37,10,3
101,1,5/1/17 18:09,5/1/17 18:10,6,9
101,2,5/1/17 15:24,5/1/17 15:24,7,6
27,2,5/1/17 6:40,5/1/17 6:41,10,8
27,4,5/1/17 12:44,5/1/17 12:44,5,9
27,2,5/1/17 12:50,5/1/17 12:50,3,6
27,4,5/1/17 15:43,5/1/17 15:44,3,7
141,3,5/1/17 9:28,5/1/17 9:28,6,4
141,3,5/1/17 4:56,5/1/17 4:56,3,2
141,3,5/1/17 6:24,5/1/17 6:25,8,1
141,2,5/1/17 11:07,5/1/17 11:07,6,8
141,4,5/1/17 18:48,5/1/17 18:48,5,2
83,2,5/1/17 13:11,5/1/17 13:11,5,9
83,4,5/1/17 18:47,5/1/17 18:47,4,7
83,1,5/1/17 9:29,5/1/17 9:29,5,3
280,4,5/1/17 14:12,5/1/17 14:12,4,3
280,4,5/1/17 14:56,5/1/17 14:56,5,7
280,3,5/1/17 11:30,5/1/17 11:30,6,9
280,4,5/1/17 13:05,5/1/17 13:05,5,1
280,1,5/1/17 5:32,5/1/17 5:32,1,9
131,2,5/1/17 6:07,5/1/17 6:08,1,10
131,1,5/1/17 7:40,5/1/17 7:40,4,2
131,4,5/1/17 15:11,5/1/17 15:11,9,4
131,4,5/1/17 4:16,5/1/17 4:17,9,4
183,4,5/1/17 11:52,5/1/17 11:53,8,4
183,4,5/1/17 9:24,5/1/17 9:24,6,8
183,1,5/1/17 19:49,5/1/17 19:49,6,4
183,3,5/1/17 13:34,5/1/17 13:34,7,6
163,3,5/1/17 11:51,5/1/17 11:52,2,10
163,2,5/1/17 8:55,5/1/17 8:55,7,6
163,3,5/1/17 9:05,5/1/17 9:05,2,7
17,4,5/1/17 6:05,5/1/17 6:06,3,6
17,1,5/1/17 6:20,5/1/17 6:21,6,9
86,2,5/1/17 4:55,5/1/17 4:56,8,4
86,1,5/1/17 14:11,5/1/17 14:12,5,1
86,1,5/1/17 16:32,5/1/17 16:33,5,6
86,3,5/1/17 10:06,5/1/17 10:06,5,4
102,1,5/1/17 7:20,5/1/17 7:21,2,8
102,2,5/1/17 4:01,5/1/17 4:02,1,6
102,2,5/1/17 6:54,5/1/17 6:55,1,7
294,4,5/1/17 10:07,5/1/17 10:08,4,9
294,2,5/1/17 15:04,5/1/17 15:04,9,6
149,1,5/1/17 15:20,5/1/17 15:20,6,3
149,3,5/1/17 10:34,5/1/17 10:34,3,4
149,3,5/1/17 18:07,5/1/17 18:08,3,9
149,4,5/1/17 13:05,5/1/17 13:06,5,6
252,2,5/1/17 5:23,5/1/17 5:23,8,2
252,4,5/1/17 19:50,5/1/17 19:50,9,4
252,3,5/1/17 16:19,5/1/17 16:19,5,9
252,3,5/1/17 9:05,5/1/17 9:05,4,9
252,2,5/1/17 10:46,5/1/17 10:47,7,3
173,1,5/1/17 8:25,5/1/17 8:26,7,4
173,1,5/1/17 18:37,5/1/17 18:38,8,2
173,4,5/1/17 18:28,5/1/17 18:29,6,2
173,4,5/1/17 12:50,5/1/17 12:50,2,7
107,1,5/1/17 10:03,5/1/17 10:03,4,6
107,4,5/1/17 8:18,5/1/17 8:19,3,6
107,2,5/1/17 13:06,5/1/17 13:06,8,6
107,1,5/1/17 6:20,5/1/17 6:20,6,3
163,2,5/1/17 15:23,5/1/17 15:23,2,6
163,2,5/1/17 8:13,5/1/17 8:13,6,8
163,1,5/1/17 4:17,5/1/17 4:18,6,2
163,2,5/1/17 14:25,5/1/17 14:26,9,10
163,2,5/1/17 16:12,5/1/17 16:13,1,6
116,4,5/1/17 12:09,5/1/17 12:10,4,8
116,1,5/1/17 17:23,5/1/17 17:24,2,9
116,3,5/1/17 14:38,5/1/17 14:39,4,7
291,1,5/1/17 12:39,5/1/17 12:39,4,6
291,1,5/1/17 17:00,5/1/17 17:00,7,5
291,1,5/1/17 18:02,5/1/17 18:03,3,9
291,1,5/1/17 5:01,5/1/17 5:01,4,7
141,4,5/1/17 13:02,5/1/17 13:02,10,6
141,2,5/1/17 18:08,5/1/17 18:08,4,7
141,3,5/1/17 12:11,5/1/17 12:12,6,5
268,3,5/1/17 12:48,5/1/17 12:48,2,6
268,4,5/1/17 10:37,5/1/17 10:37,7,4
268,4,5/1/17 16:50,5/1/17 16:50,5,8
51,2,5/1/17 17:30,5/1/17 17:31,2,10
51,1,5/1/17 9:10,5/1/17 9:10,7,8
51,2,5/1/17 5:39,5/1/17 5:39,4,2
51,4,5/1/17 13:47,5/1/17 13:47,9,5
198,2,5/1/17 14:30,5/1/17 14:31,10,5
198,4,5/1/17 17:08,5/1/17 17:08,7,6
198,2,5/1/17 5:30,5/1/17 5:30,7,9
88,4,5/1/17 18:04,5/1/17 18:05,6,2
88,4,5/1/17 4:08,5/1/17 4:08,3,5
88,4,5/1/17 4:57,5/1/17 4:57,7,1
250,3,5/1/17 4:41,5/1/17 4:41,1,5
250,3,5/1/17 7:10,5/1/17 7:11,4,9
250,1,5/1/17 5:55,5/1/17 5:55,3,5
187,4,5/1/17 4:40,5/1/17 4:40,7,2
187,4,5/1/17 12:45,5/1/17 12:45,4,5
137,3,5/1/17 11:05,5/1/17 11:05,4,8
137,4,5/1/17 15:08,5/1/17 15:08,2,6
137,4,5/1/17 8:45,5/1/17 8:45,5,1
174,3,5/1/17 13:57,5/1/17 13:57,4,3
174,4,5/1/17 9:32,5/1/17 9:33,4,6
174,4,5/1/17 4:29,5/1/17 4:29,6,4
174,2,5/1/17 19:36,5/1/17 19:37,4,5
134,4,5/1/17 7:41,5/1/17 7:42,8,2
134,3,5/1/17 8:16,5/1/17 8:17,1,9
134,4,5/1/17 11:20,5/1/17 11:20,10,9
134,1,5/1/17 7:00,5/1/17 7:00,8,7
191,4,5/1/17 8:36,5/1/17 8:37,10,3
191,1,5/1/17 19:48,5/1/17 19:49,7,2
191,2,5/1/17 11:28,5/1/17 11:28,2,5
119,4,5/1/17 14:38,5/1/17 14:38,10,7
119,2,5/1/17 17:49,5/1/17 17:49,6,5
119,2,5/1/17 6:03,5/1/17 6:04,10,8
119,2,5/1/17 10:00,5/1/17 10:01,3,10
126,1,5/1/17 4:22,5/1/17 4:22,1,3
126,2,5/1/17 6:39,5/1/17 6:40,9,1
126,3,5/1/17 7:30,5/1/17 7:30,7,10
126,3,5/1/17 8:39,5/1/17 8:39,3,5
126,2,5/1/17 4:22,5/1/17 4:22,1,4
80,3,5/1/17 19:49,5/1/17 19:50,8,3
80,4,5/1/17 6:35,5/1/17 6:35,2,9
80,1,5/1/17 18:19,5/1/17 18:19,8,7
133,1,5/1/17 11:50,5/1/17 11:51,8,6
133,4,5/1/17 18:51,5/1/17 18:52,10,5
133,3,5/1/17 5:22,5/1/17 5:23,2,9
133,4,5/1/17 19:03,5/1/17 19:04,3,9
128,1,5/1/17 4:29,5/1/17 4:30,1,9
128,2,5/1/17 9:00,5/1/17 9:01,2,7
128,4,5/1/17 19:45,5/1/17 19:45,6,4
128,1,5/1/17 16:10,5/1/17 16:11,4,2
128,2,5/1/17 10:39,5/1/17 10:40,8,2
56,4,5/1/17 10:37,5/1/17 10:38,7,4
56,1,5/1/17 5:39,5/1/17 5:39,6,7
221,3,5/1/17 13:10,5/1/17 13:10,6,8
221,2,5/1/17 14:23,5/1/17 14:23,8,10
221,3,5/1/17 17:57,5/1/17 17:57,9,3
221,2,5/1/17 19:16,5/1/17 19:17,5,10
232,4,5/1/17 18:50,5/1/17 18:50,4,7
232,4,5/1/17 19:43,5/1/17 19:44,6,4
245,1,5/1/17 18:08,5/1/17 18:08,8,7
245,3,5/1/17 12:56,5/1/17 12:56,5,3
245,2,5/1/17 15:25,5/1/17 15:25,9,7
245,1,5/1/17 7:17,5/1/17 7:17,5,8
219,4,5/1/17 18:43,5/1/17 18:43,10,9
219,4,5/1/17 14:25,5/1/17 14:25,7,2
219,3,5/1/17 4:19,5/1/17 4:20,4,10
219,4,5/1/17 15:16,5/1/17 15:17,2,5
83,3,5/1/17 11:25,5/1/17 11:25,1,4
83,2,5/1/17 18:42,5/1/17 18:42,8,5
83,3,5/1/17 8:13,5/1/17 8:14,4,1
83,4,5/1/17 19:03,5/1/17 19:03,3,6
258,2,5/1/17 18:06,5/1/17 18:07,3,8
258,4,5/1/17 11:04,5/1/17 11:04,2,5
135,1,5/1/17 18:55,5/1/17 18:55,5,6
135,3,5/1/17 14:28,5/1/17 14:29,7,2
277,4,5/1/17 10:08,5/1/17 10:08,6,3
277,2,5/1/17 14:24,5/1/17 14:24,3,6
277,2,5/1/17 15:18,5/1/17 15:19,1,10
249,1,5/1/17 8:43,5/1/17 8:43,4,8
249,2,5/1/17 19:43,5/1/17 19:43,2,3
293,3,5/1/17 6:26,5/1/17 6:27,1,7
293,2,5/1/17 13:44,5/1/17 13:45,1,9
293,3,5/1/17 11:54,5/1/17 11:55,9,2
